Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,96.550003,98.440002,96.449997,98.330002,96.592316,6504000
2023-03-06,98.440002,99.199997,98.099998,98.379997,96.641426,5215200
2023-03-07,98.000000,98.260002,95.970001,96.059998,94.362427,5461400
2023-03-08,95.639999,96.500000,95.360001,95.900002,94.205254,4121300
2023-03-09,95.360001,95.949997,91.769997,92.199997,90.570641,9162400
2023-03-10,91.769997,93.010002,89.230003,90.050003,88.458641,16206500
2023-03-13,88.540001,90.180000,86.650002,87.989998,86.435036,15175400
2023-03-14,92.410004,92.410004,89.120003,89.970001,88.380051,11089300
2023-03-15,86.930000,87.019997,83.680000,85.389999,83.880989,14814000
2023-03-16,84.550003,88.279999,83.279999,87.010002,85.472359,15342400
2023-03-17,86.489998,86.500000,83.699997,84.180000,82.692375,19935800
2023-03-20,84.599998,86.309998,84.370003,85.639999,84.126572,8649800
2023-03-21,88.230003,89.180000,88.000000,88.760002,87.191437,8905600
2023-03-22,88.750000,90.080002,87.459999,87.550003,86.002815,7299300
2023-03-23,87.949997,88.800003,85.239998,85.839996,84.323036,9373000
2023-03-24,84.510002,84.510002,81.720001,83.949997,82.466431,10978700
2023-03-27,86.059998,86.320000,84.360001,84.639999,83.144241,6626900
2023-03-28,84.559998,85.169998,83.930000,84.879997,83.379997,5209900
2023-03-29,85.930000,86.349998,85.349998,86.239998,84.715965,4873500
2023-03-30,87.260002,87.610001,85.459999,86.110001,84.588264,4113700
2023-03-31,86.800003,87.870003,86.169998,87.800003,86.248405,6142400
2023-04-03,87.949997,88.320000,86.669998,87.160004,85.619713,7728400
2023-04-04,87.000000,87.199997,84.260002,84.820000,83.321060,6222800
2023-04-05,83.830002,84.529999,83.199997,83.820000,82.338730,6045400
2023-04-06,83.900002,84.400002,83.209999,84.190002,82.702202,3877800
2023-04-10,83.949997,84.360001,83.430000,84.000000,82.515556,6185800
2023-04-11,84.290001,85.760002,84.129997,85.089996,83.586288,5582100
2023-04-12,85.510002,86.019997,84.790001,85.470001,83.959572,4641800
2023-04-13,85.389999,85.779999,84.440002,85.690002,84.175690,5086000
2023-04-14,86.430000,87.400002,86.000000,86.709999,85.177666,7865900
2023-04-17,86.660004,89.309998,86.269997,89.290001,87.712067,8876900
2023-04-18,89.129997,90.540001,88.739998,89.849998,88.262169,10227600
2023-04-19,87.139999,90.699997,86.500000,90.449997,88.851570,13886200
2023-04-20,89.849998,91.820000,89.720001,90.430000,88.831924,6776000
2023-04-21,90.480003,91.339996,89.169998,91.120003,89.509735,6531000
2023-04-24,91.230003,91.480003,89.550003,90.199997,88.605980,5004400
2023-04-25,89.639999,89.830002,87.889999,88.059998,86.503799,5806700
2023-04-26,88.150002,89.790001,87.910004,88.440002,86.877090,6429100
2023-04-27,89.410004,90.959999,88.889999,90.260002,88.664925,6375800
2023-04-28,89.449997,90.330002,89.160004,89.970001,89.145477,6374500
2023-05-01,90.190002,90.519997,87.830002,87.930000,87.124176,7745400
2023-05-02,87.570000,87.570000,85.330002,86.290001,85.499207,6319100
2023-05-03,86.400002,87.180000,84.570000,84.750000,83.973320,6546500
2023-05-04,84.169998,84.449997,81.610001,82.610001,81.852928,10359200
2023-05-05,83.790001,85.019997,83.620003,84.879997,84.102127,8286500
2023-05-08,85.480003,85.570000,84.320000,84.430000,83.656250,5825300
2023-05-09,84.000000,84.910004,83.699997,84.370003,83.596802,4381400
2023-05-10,85.070000,85.220001,82.800003,83.720001,82.952759,4884900
2023-05-11,82.779999,82.820000,81.620003,82.629997,81.872742,6717800
2023-05-12,83.000000,83.269997,81.669998,82.389999,81.634949,5208200
2023-05-15,82.669998,83.379997,82.250000,82.949997,82.189812,5032100
2023-05-16,82.720001,83.070000,81.809998,81.860001,81.109802,6862900
2023-05-17,82.540001,83.919998,82.500000,83.910004,83.141022,8216700
2023-05-18,83.699997,84.550003,83.019997,84.489998,83.715698,5367700
2023-05-19,83.790001,84.419998,82.230003,82.239998,81.486320,11177500
2023-05-22,82.250000,83.160004,81.910004,82.269997,81.516045,5520000
2023-05-23,82.000000,83.570000,81.889999,82.639999,81.882652,5521200
2023-05-24,82.010002,82.230003,80.739998,81.220001,80.475670,6827800
2023-05-25,81.209999,83.129997,80.980003,83.000000,82.239357,6962700
2023-05-26,82.970001,84.639999,82.830002,83.900002,83.131111,7411600
2023-05-30,84.160004,84.570000,83.110001,83.419998,82.655502,5876800
2023-05-31,83.059998,83.279999,81.129997,81.760002,81.010719,9559200
2023-06-01,82.580002,82.839996,81.470001,82.070000,81.317879,6857500
2023-06-02,82.940002,84.680000,82.940002,84.349998,83.576981,6218100
2023-06-05,84.400002,84.730003,83.220001,83.739998,82.972572,6631900
2023-06-06,83.599998,86.230003,83.269997,85.860001,85.073143,6903900
2023-06-07,86.050003,87.010002,85.779999,86.500000,85.707283,7410800
2023-06-08,86.400002,86.910004,85.180000,86.309998,85.519020,6795900
2023-06-09,86.739998,86.959999,85.660004,86.209999,85.419937,6282600
2023-06-12,86.199997,87.639999,86.010002,87.440002,86.638664,7053500
2023-06-13,87.839996,88.980003,87.589996,88.279999,87.470963,6089200
2023-06-14,88.599998,89.489998,87.639999,87.980003,87.173721,5772500
2023-06-15,87.629997,89.330002,87.400002,89.050003,88.233917,8603200
2023-06-16,89.620003,89.650002,87.940002,88.089996,87.282707,13144000
2023-06-20,87.099998,87.209999,86.250000,86.730003,85.935173,7382000
2023-06-21,86.559998,87.279999,86.300003,86.339996,85.548744,6343100
2023-06-22,85.519997,85.629997,84.360001,84.500000,83.725609,6214600
2023-06-23,83.260002,83.919998,82.599998,83.580002,82.814041,10017300
2023-06-26,83.559998,84.239998,83.250000,83.589996,82.823944,6377400
2023-06-27,83.910004,84.870003,83.379997,84.430000,83.656250,6639900
2023-06-28,84.540001,84.559998,83.639999,83.989998,83.220284,4781600
2023-06-29,85.339996,86.059998,84.629997,85.239998,84.458824,9066500
2023-06-30,86.019997,86.489998,85.400002,85.400002,84.617363,6188200
2023-07-03,86.339996,87.660004,85.839996,86.410004,85.618111,5839300
2023-07-05,85.949997,86.279999,85.349998,85.919998,85.132591,6734300
2023-07-06,84.849998,84.919998,83.019997,83.330002,82.566330,8546800
2023-07-07,83.010002,84.040001,82.900002,83.360001,82.596054,8217300
2023-07-10,83.419998,84.389999,83.180000,83.400002,82.635689,6141200
2023-07-11,83.900002,85.430000,83.620003,84.959999,84.181389,11057700
2023-07-12,86.680000,87.709999,85.599998,85.769997,84.983963,8602300
2023-07-13,86.230003,86.639999,85.739998,86.209999,85.419937,6026500
2023-07-14,87.410004,87.419998,85.559998,85.779999,84.993874,7731300
2023-07-17,85.680000,86.900002,85.680000,86.370003,85.578476,7911800
2023-07-18,87.540001,92.559998,87.099998,91.940002,91.097427,21633900
2023-07-19,91.430000,93.860001,91.330002,93.160004,92.306252,12004300
2023-07-20,93.110001,94.139999,92.860001,93.800003,92.940384,9541800
